August 19,Do the Right Thing,Regent Park,Regent Park Film Festival,http://regentparkfilmfestival.com/year-round/underthestars2015/,August
July 12,"O Brother, Where Art Though?",Christie Pits,Christie Pits Film Festival,https://christiepitsff.com/films/,July
July 19,The Birds,Christie Pits,Christie Pits Film Festival,https://christiepitsff.com/films/,July
July 26,Edwin Boyd: Citizen Gangster,Christie Pits,Christie Pits Film Festival,https://christiepitsff.com/films/,July
August 2,Mean Girls,Christie Pits,Christie Pits Film Festival,https://christiepitsff.com/films/,August
August 9,Whatever Happened to Baby Jane?,Christie Pits,Christie Pits Film Festival,https://christiepitsff.com/films/,August
August 16,There Will be Blood,Christie Pits,Christie Pits Film Festival,https://christiepitsff.com/films/,August
June 25,The Birdcage,St James Park,Movies in St James Park,http://oldtowntoronto.ca/index.php/movies-in-st-james-park-2015,June
July 30,Big Hero 6,St James Park,Movies in St James Park,http://oldtowntoronto.ca/index.php/movies-in-st-james-park-2015,July
August 20,The Grand Budapest Hotel,St James Park,Movies in St James Park,http://oldtowntoronto.ca/index.php/movies-in-st-james-park-2015,August
